Probe,Span,Theta (radians),Pressure (kPa),Static Pressure (kPa),,Color,(Pinf-P)/qi,,Dark Blue,1.801,,1.945
,0.156,3.228859116,0,,,White,0,,,,,
,0.2615,3.228859116,0,,,White,0,,,,,
,0.367,3.228859116,0,,,White,0,,,,,
,0.4725,3.228859116,0,,,White,0,,,,,
,0.578,3.228859116,0,,,White,0,,,,,
,0.6835,3.228859116,0,,,White,0,,,,,
,0.789,3.228859116,0,,,White,0,,,,,
,0.8945,3.228859116,0,,,White,0,,,,,
,1,3.228859116,0,,,White,0,,,,,
29,0,3.316125579,0,,,White,0,,,,,
,0.156,3.316125579,0,,,White,0,,,,,
,0.2615,3.316125579,0,,,White,0,,,,,
,0.367,3.316125579,0,,,White,0,,,,,
,0.4725,3.316125579,0,,,White,0,,,,,
,0.578,3.316125579,0,,,White,0,,,,,
,0.6835,3.316125579,0,,,White,0,,,,,
,0.789,3.316125579,0,,,White,0,,,,,
,0.8945,3.316125579,0,,,White,0,,,,,
,1,3.316125579,0,,,White,0,,,,,
30,0,3.403392041,0,,,White,0,,,,,
,0.156,3.403392041,0,,,White,0,,,,,
,0.2615,3.403392041,0,,,White,0,,,,,
,0.367,3.403392041,0,,,White,0,,,,,
,0.4725,3.403392041,0,,,White,0,,,,,
,0.578,3.403392041,0,,,White,0,,,,,
,0.6835,3.403392041,0,,,White,0,,,,,
,0.789,3.403392041,0,,,White,0,,,,,
,0.8945,3.403392041,0,,,White,0,,,,,
,1,3.403392041,0,,,White,0,,,,,
31,0,3.490658504,0,,,White,0,,,,,
,0.156,3.490658504,0,,,White,0,,,,,
,0.2615,3.490658504,0,,,White,0,,,,,
,0.367,3.490658504,0,,,White,0,,,,,
,0.4725,3.490658504,0,,,White,0,,,,,
,0.578,3.490658504,0,,,White,0,,,,,
,0.6835,3.490658504,0,,,White,0,,,,,
,0.789,3.490658504,0,,,White,0,,,,,
,0.8945,3.490658504,0,,,White,0,,,,,
,1,3.490658504,0,,,White,0,,,,,
32,0,3.577924967,0,,,White,0,,,,,
,0.156,3.577924967,0,,,White,0,,,,,
,0.2615,3.577924967,0,,,White,0,,,,,
,0.367,3.577924967,0,,,White,0,,,,,
,0.4725,3.577924967,0,,,White,0,,,,,
,0.578,3.577924967,0,,,White,0,,,,,
,0.6835,3.577924967,0,,,White,0,,,,,
,0.789,3.577924967,0,,,White,0,,,,,
,0.8945,3.577924967,0,,,White,0,,,,,
,1,3.577924967,0,,,White,0,,,,,
33,0,3.665191429,0,,,White,0,,,,,
,0.156,3.665191429,0,,,White,0,,,,,
,0.2615,3.665191429,0,,,White,0,,,,,
,0.367,3.665191429,0,,,White,0,,,,,
,0.4725,3.665191429,0,,,White,0,,,,,
,0.578,3.665191429,0,,,White,0,,,,,
,0.6835,3.665191429,0,,,White,0,,,,,
,0.789,3.665191429,0,,,White,0,,,,,
,0.8945,3.665191429,0,,,White,0,,,,,
,1,3.665191429,0,,,White,0,,,,,
34,0,4.188790205,0,,,White,0,,,,,
,0.156,4.188790205,0,,,White,0,,,,,
,0.2615,4.188790205,0,,,White,0,,,,,
,0.367,4.188790205,0,,,White,0,,,,,
,0.4725,4.188790205,0,,,White,0,,,,,
,0.578,4.188790205,0,,,White,0,,,,,
,0.6835,4.188790205,0,,,White,0,,,,,
,0.789,4.188790205,0,,,White,0,,,,,
,0.8945,4.188790205,0,,,White,0,,,,,
,1,4.188790205,0,,,White,0,,,,,
35,0,4.71238898,0,,,White,0,,,,,
,0.156,4.71238898,0,,,White,0,,,,,
,0.2615,4.71238898,0,,,White,0,,,,,
,0.367,4.71238898,0,,,White,0,,,,,
,0.4725,4.71238898,0,,,White,0,,,,,
,0.578,4.71238898,0,,,White,0,,,,,
,0.6835,4.71238898,0,,,White,0,,,,,
,0.789,4.71238898,0,,,White,0,,,,,
,0.8945,4.71238898,0,,,White,0,,,,,
,1,4.71238898,0,,,White,0,,,,,
36,0,5.235987756,0,,,White,0,,,,,
,0.156,5.235987756,0,,,White,0,,,,,
,0.2615,5.235987756,0,,,White,0,,,,,
,0.367,5.235987756,0,,,White,0,,,,,
,0.4725,5.235987756,0,,,White,0,,,,,
,0.578,5.235987756,0,,,White,0,,,,,
,0.6835,5.235987756,0,,,White,0,,,,,
,0.789,5.235987756,0,,,White,0,,,,,
,0.8945,5.235987756,0,,,White,0,,,,,
,1,5.235987756,0,,,White,0,,,,,
37,0,5.759586532,0,,,White,0,,,,,
,0.156,5.759586532,0,,,White,0,,,,,
,0.2615,5.759586532,0,,,White,0,,,,,
,0.367,5.759586532,0,,,White,0,,,,,
,0.4725,5.759586532,0,,,White,0,,,,,
,0.578,5.759586532,0,,,White,0,,,,,
,0.6835,5.759586532,0,,,White,0,,,,,
,0.789,5.759586532,0,,,White,0,,,,,
,0.8945,5.759586532,0,,,White,0,,,,,
,1,5.759586532,0,,,White,0,,,,,
38,0,6.283185307,0,,,White,0,,,,,
,0.156,6.283185307,0,,,White,0,,,,,
,0.2615,6.283185307,0,,,White,0,,,,,
,0.367,6.283185307,0,,,White,0,,,,,
,0.4725,6.283185307,0,,,White,0,,,,,
,0.578,6.283185307,0,,,White,0,,,,,
,0.6835,6.283185307,0,,,White,0,,,,,
,0.789,6.283185307,0,,,White,0,,,,,
,0.8945,6.283185307,0,,,White,0,,,,,
,1,6.283185307,0,,,White,0,,,,,
